date,javascript,sql,java,c#,php,python,c++,c,nodejs,ruby,objective-c
12/20/16,65153,0,25150,9575,14211,86495,37181,59823,0,50745,27921
3/9/16,119858,1,46596,22434,24292,152711,74315,98630,0,88471,60103
7/29/16,48300,0,20747,13570,10650,79920,43243,61058,0,44848,35420
10/30/16,19266,0,5499,5141,3147,28365,10866,21867,0,16972,5737
9/28/16,50719,0,21153,15816,15393,87068,38969,65582,0,47637,30340
12/14/16,66719,0,29847,12822,16324,118772,59843,89296,0,57728,49153
6/26/16,17215,0,5906,2412,3640,31138,13921,23930,0,13484,10791
7/25/16,43749,0,18863,12212,10286,81388,45881,64424,0,36114,35985
3/18/16,76981,0,30839,23600,21895,112834,61014,80774,0,57836,48178
1/17/16,38137,0,12741,4826,8765,46590,23334,31293,0,26286,17785
4/1/16,58866,0,27913,16546,17172,100623,59136,79390,0,48549,50143
6/18/16,27400,0,10628,4675,10006,49538,19543,37256,0,21569,14815
11/6/16,30576,0,7802,3882,6596,42947,11723,34593,0,31985,8167
11/19/16,35052,0,13916,8434,7552,49931,30723,39064,0,22384,21843
10/12/16,55013,0,30084,14173,13016,87445,43356,68335,0,46483,33711
12/22/16,62261,0,26965,10049,12806,79671,36294,53944,0,51949,26864
4/15/16,60263,0,26681,17533,17939,104341,52971,80849,0,46180,43672
6/29/16,55915,0,25598,13506,15635,103950,44570,84964,0,52317,36167
10/27/16,56391,0,26268,14668,16257,90272,39858,70488,0,49925,30501
9/2/16,50439,0,23282,11288,13282,82870,39802,64155,0,42632,31458
1/4/16,95557,1,33867,18980,21735,114267,60794,80519,0,60887,48375
1/8/16,104669,6,39323,20210,22967,141982,69251,100233,0,71280,55036
4/28/16,66660,3,27914,16293,22128,102176,49421,70970,0,46700,39803
6/2/16,64171,0,26353,17293,18511,109407,46532,75993,0,50369,35509
12/13/16,72246,0,30568,13061,15292,120991,60181,88184,0,58536,50457
5/5/16,62301,0,28625,17155,15337,98232,48944,73191,0,48160,38478
5/18/16,58003,0,25975,20294,18875,96685,55726,75682,0,44854,47319
11/16/16,79236,0,33569,16290,17047,102610,54628,73862,0,55797,41856
11/8/16,82189,0,35417,20869,18903,112372,56988,79673,0,59898,44104
5/26/16,56875,0,31824,13776,18006,109937,48414,87102,0,52117,40600
9/11/16,15934,0,6322,3587,4044,31445,11921,25578,0,18631,8026
6/10/16,54415,0,25502,13577,13894,97119,41301,74486,0,49598,33523
2/19/16,106366,0,40979,23131,23866,162161,67469,112925,0,93284,53331
9/14/16,55741,0,24344,12531,15533,87218,42159,67063,0,43544,32336
6/1/16,61296,0,27451,15973,17855,99839,50165,73187,0,45169,40242
10/6/16,51707,0,23952,13080,12975,85197,53480,66834,0,38552,44093
6/5/16,20231,0,6138,2949,3622,36118,19277,28024,0,14179,16217
9/21/16,56281,0,23858,14711,18339,86626,42150,63963,0,43845,34920
11/5/16,21169,0,7264,5787,3043,34752,14372,27665,0,19524,8073
4/4/16,57714,0,25596,17325,15654,78495,47120,54308,0,36149,35096
1/16/16,54099,0,22206,10626,13941,118087,80209,97402,0,39412,71253
7/1/16,54885,0,26779,11798,16181,85764,44150,66335,0,45302,36188
3/27/16,29641,0,7284,4394,4756,27329,12762,14875,0,11783,7050
11/11/16,64144,0,33108,17144,16197,93360,50679,67527,0,45109,36605
9/7/16,47630,0,20683,11655,13400,83356,36341,64625,0,40207,28394
9/6/16,47696,0,18967,9927,12432,79167,34539,60346,0,40168,27791
9/17/16,24426,0,7268,5362,6432,36720,14732,24900,0,17630,11996
4/20/16,67237,0,30712,19221,16946,105114,58315,79328,0,49860,46526
12/27/16,38107,0,16092,6241,10312,43207,23707,29928,0,24145,16985
11/15/16,83853,0,36444,16151,18751,110573,59936,78313,0,59468,47703
7/18/16,44847,0,20086,10101,11839,75986,33059,54358,0,39397,25454
12/21/16,62626,0,32616,10443,14676,87732,39942,63902,0,52910,30060
3/17/16,72904,0,32361,22786,19983,150696,89675,121691,0,58854,79227
4/6/16,66104,0,26431,19367,18523,88176,43268,63209,0,44751,30905
8/30/16,53622,0,23076,14214,15304,96752,33678,72965,0,51792,26696
4/2/16,29242,0,11195,5981,5685,45829,22911,33660,0,16827,18338
8/20/16,21450,0,6036,4023,4975,46662,13913,38143,0,24413,11213
3/25/16,68230,0,28598,17549,15022,108428,60651,85667,0,48779,51923
3/26/16,34377,0,12859,7218,9357,43936,20851,27745,0,21534,16092
3/12/16,57440,0,18116,10846,14075,71040,32026,44577,0,42065,23188
12/4/16,24968,0,8572,4871,6068,31532,14957,18586,0,13207,10226
9/3/16,21162,0,6477,3501,3959,32208,13131,23636,0,18235,10203
9/24/16,23049,0,8871,5810,4821,40839,20560,32088,0,20459,15667
6/3/16,67138,0,32701,14926,18367,122926,59447,93257,0,53062,49027
5/19/16,56903,0,22351,18126,16185,84817,42505,60938,0,38766,33273
8/2/16,56808,0,25896,16142,13757,117047,59439,96725,0,54528,51715
5/21/16,25552,0,11564,6681,5278,69398,40611,58392,0,25454,36702
4/8/16,64712,0,25720,14821,13064,104040,51827,76498,0,45332,42354
12/7/16,74166,0,36388,14865,20151,129049,60233,100660,0,68031,48854
10/7/16,48622,0,23872,11918,11944,89183,49302,74122,0,45588,42019
5/4/16,70970,0,29091,17014,18670,106456,54851,80180,0,55027,45426
9/30/16,46002,0,23247,12064,13095,73204,37794,56210,0,41534,30836
11/24/16,34057,0,14668,7849,9913,42513,26992,32489,0,19197,21011
8/8/16,50369,0,19332,12120,11501,72587,32975,51677,0,36404,26936
3/16/16,73084,0,28178,22671,17859,102754,52546,70741,0,46092,41022
4/19/16,68944,0,27120,21755,19063,103460,51715,71783,0,46085,40001
8/13/16,24153,0,8723,4494,6583,42007,19087,33629,0,20162,15480
1/9/16,48759,0,15306,8499,8523,58177,35204,44849,0,29781,27404
5/17/16,63619,0,30981,16186,15592,97463,52688,73986,0,48447,43259
8/17/16,57966,0,27304,10842,13429,104811,40750,77155,0,52873,33927
1/24/16,53425,0,16856,7744,11104,53018,25275,34334,0,28202,20047
3/8/16,106793,1,41296,24673,23110,146673,83319,101136,0,68037,63611
1/27/16,114399,1,42349,26494,24991,146030,70770,103204,0,75210,55116
7/10/16,18337,0,5655,2307,4617,20092,9654,13164,0,8919,6809
7/31/16,16583,0,4552,3290,3401,21532,10268,11654,0,10949,7259
4/21/16,60510,0,26247,20726,14694,99437,52736,75930,0,48995,39317
1/22/16,94149,0,40399,20179,22630,155384,79701,116904,0,76416,70537
1/29/16,110778,2,44696,23695,25766,155451,72175,106628,0,78529,59113
1/31/16,45023,0,14937,7772,8643,53895,27786,36119,0,25790,21645
1/13/16,104203,0,36883,23118,22029,146617,75035,104813,0,67745,59426
6/12/16,17683,0,7546,4162,3261,23582,12509,17128,0,11642,8189
1/25/16,113351,0,40801,20420,26062,139371,69011,94859,0,70282,58259
5/28/16,31903,0,11688,5083,5453,44534,18774,35216,0,20907,14238
8/22/16,44534,0,22097,10609,13400,79529,33369,62343,0,42562,26866
2/21/16,51144,0,16921,11293,9545,56691,26751,35051,0,30439,16368
7/20/16,49519,0,22586,14653,13893,98834,47389,74885,0,47082,36687
2/28/16,41627,0,13498,7906,7800,55607,27979,39544,0,26629,20043
4/3/16,22057,0,6534,2951,4856,25722,14884,20233,0,11128,12118
10/11/16,54046,0,29660,12312,12222,93673,58969,79310,0,47749,51296
8/29/16,40638,0,12241,9709,10794,56228,25369,40736,0,27001,20501
4/13/16,63648,0,27970,14035,14913,99604,55040,76117,0,45688,45149
12/28/16,38164,0,15491,7592,9330,46655,22072,31864,0,28477,14102
7/3/16,13155,0,3660,2380,2652,18971,12185,15875,0,11101,9697
11/26/16,24013,0,8274,6292,4860,23360,15588,15538,0,11461,10910
4/7/16,62944,0,26485,15670,13895,85397,47746,63176,0,41217,35612
6/20/16,48629,0,21519,12543,11453,89297,48491,73755,0,37979,40317
7/7/16,56231,0,23933,15932,14841,96513,43759,71657,0,47464,35209
2/15/16,81269,0,24339,9974,15920,96147,46519,63907,0,44601,37575
10/17/16,43417,0,20362,13128,11715,68775,36096,52914,0,38600,29080
12/24/16,20288,0,7234,2830,4495,21810,12811,15315,0,11048,9041
9/22/16,55272,0,28044,15816,15353,94653,46115,73398,0,49920,38399
11/1/16,49136,0,25816,12916,12355,87699,42642,69525,0,48855,35204
7/16/16,20846,0,8244,4625,6503,34020,17817,22953,0,17015,13689
7/30/16,22273,0,6803,4064,3693,34106,17273,25354,0,21553,14010
4/22/16,66209,0,28709,18226,17818,94199,47098,66360,0,45475,35851
3/3/16,121427,3,46871,24407,24558,179689,82841,121900,0,84718,69168
10/13/16,55089,0,27018,15110,15543,92193,43191,68077,0,48379,34136
1/11/16,105120,0,39409,19865,18907,139231,67182,93716,0,60603,57921
1/10/16,41839,0,11837,7044,9520,59587,38280,43867,0,20779,32096
7/23/16,22032,0,6357,5875,6949,45815,16492,31957,0,22996,12937
6/17/16,56304,0,25300,15883,15882,103852,41862,80996,0,49840,32851
8/26/16,54058,0,25482,10284,15120,95445,37255,73051,0,50437,30317
5/23/16,48683,0,24074,12059,12006,92206,56810,74595,0,37612,49023
2/20/16,62029,0,26420,13950,12296,89340,42909,60078,0,45896,32186
9/5/16,18550,0,5922,2649,3923,27478,8641,20588,0,18253,6832
8/18/16,50066,0,23982,12979,14348,94128,41336,72277,0,50317,33531
1/12/16,121557,0,47376,23024,26251,176347,76321,114679,0,79080,64391
10/8/16,22046,0,8289,5759,5739,47699,26706,38904,0,20563,21233
